2585694;Plac Trzech Krzyży
2585766;Marszałkowska - Litewska
2585762;Stefana Banacha - UW
2585750;Pasteura - Winnicka - UW
2585749;Grójecka - Bitwy Warszawskiej 1920 roku
2585748;Port Czerniakowski
2585747;Myśliwiecka - Rozbrat
2585742;Matejki - Wiejska
2585738;Plac Na Rozdrożu
2585764;Biblioteka Narodowa
2585684;Rondo de Gaulle'a
2585492;Krucza - Wspólna
2585477;Marszałkowska - Hoża
2585432;Kolejowa
2585431;Centrum Nauki Kopernik
2585430;Lipowa - Dobra
2585429;Obożna - Kopernika
2585425;Metro Nowy Świat - Uniwersytet
2585422;Plac Powstańców Warszawy
2585420;Plac Małachowskiego
2585433;Żelazna - Sienna
2585419;Metro Świętokrzyska
2585416;Marszałkowska - Królewska
2585413;Plac Grzybowski
2585412;Emilii Plater - Świętokrzyska
2585410;Ptasia - Zimna
2585406;al. Jana Pawła II - Grzybowska
2585405;al. Jana Pawła II - Plac Mirowski
2585417;Marszałkowska - Zielna
2585785;Żwirki i Wigury - Racławicka
2585435;al. Jana Pawła II - Złota
2585442;Marszałkowska - Złota
2585476;al. Jerozolimskie - rejon Rotundy
2585470;Emilii Plater - Wspólna
2585469;Emilii Plater - Al. Jerozolimskie
2585467;Al. Jerozolimskie - Emilii Plater
2585466;Oczki - WUM
2585464;Warszawa Śródmieście WKD
2585462;Lindleya - szpital
2585438;Emilii Plater - Złota
2585460;al. Jerozolimskie - Lindleya
2585455;Ochota-Ratusz
2585453;al. Jerozolimskie - Niemcewicza
2585452;Solec - Jaracza
2585450;Topiel - Tamka
2585447;Gałczyńskiego - Foksal
2585446;Nowy Świat - Warecka
2585445;Al. Jerozolimskie - Krucza
2585457;Plac Zawiszy
44583483;Wólczyńska - Conrada
2585901;Pileckiego - Alternatywy
2585824;Włochy-Ratusz
2585408;Rondo ONZ
